concept_code,concept_name,stock_count,avg_rank
884266.TI,军工电子Ⅲ,8,204.625
885372.TI,页岩气,8,208.0
885969.TI,金属镍,8,224.875
885480.TI,在线教育,8,226.0
885958.TI,硅能源,8,229.25
885915.TI,物业管理,8,237.125
884053.TI,铝,8,280.75
885343.TI,稀土永磁,8,302.75
885834.TI,华为汽车,7,128.42857142857142
886043.TI,太赫兹,7,130.14285714285714
884262.TI,通信网络设备及器件,7,135.85714285714286
885996.TI,超超临界发电,7,147.0
885355.TI,石墨烯,7,166.14285714285714
885398.TI,煤化工概念,7,189.71428571428572
885759.TI,人脸识别,7,190.28571428571428
884092.TI,印制电路板,7,211.71428571428572
886046.TI,MR(混合现实),7,215.42857142857142
885663.TI,证金持股,7,249.85714285714286
886045.TI,同花顺中特估100,7,257.0
884290.TI,底盘与发动机系统,7,258.42857142857144
885706.TI,农机,7,266.42857142857144
885938.TI,换电概念,6,138.66666666666666
885418.TI,文化传媒概念,6,145.16666666666666
885760.TI,装配式建筑,6,153.33333333333334
884080.TI,能源及重型设备,6,167.33333333333334
885868.TI,无线耳机,6,181.33333333333334
884186.TI,其他小金属,6,183.16666666666666
885940.TI,WiFi6,6,185.0
884086.TI,电气自控设备,6,189.0
885886.TI,超级电容,6,194.5
885456.TI,互联网金融,6,196.16666666666666
884074.TI,其他通用设备,6,217.16666666666666
884303.TI,光伏电池组件,6,223.0
885967.TI,化肥,6,224.16666666666666
885522.TI,养老概念,6,224.83333333333334
885650.TI,碳纤维,6,225.83333333333334
885864.TI,光刻胶,6,227.83333333333334
885742.TI,摘帽,6,228.5
885922.TI,盐湖提锂,6,236.66666666666666
885502.TI,冷链物流,6,244.66666666666666
886036.TI,时空大数据,6,273.1666666666667
885894.TI,海南自贸区,5,145.0
884084.TI,环保设备Ⅲ,5,154.4
884310.TI,电池化学品,5,158.2
884180.TI,航天装备,5,158.8
884263.TI,通信线缆及配套,5,167.4
884229.TI,半导体设备,5,168.0
885854.TI,垃圾分类,5,179.0
885998.TI,F5G概念,5,180.6
884016.TI,油气开采,5,191.2
885963.TI,智慧灯杆,5,193.6
885865.TI,金属钴,5,197.8
885842.TI,数字乡村,5,198.4
884034.TI,其他化学制品,5,214.6
885439.TI,土地流转,5,238.2
884181.TI,航空装备,5,251.8
885692.TI,地下管网,5,253.8
885812.TI,农业种植,5,270.4
886008.TI,减速器,5,276.6
885472.TI,上海自贸区,5,277.6
884225.TI,其他电源设备Ⅲ,5,294.2
885923.TI,鸿蒙概念,5,301.8
885620.TI,参股券商,5,330.6
884282.TI,钨,4,45.75
885540.TI,三胎概念,4,110.5
884082.TI,其他专用设备,4,117.5
