start_idx,peak_idx,start_date,peak_date,start_price,peak_price,wave_gain_pct,bars,price_col
4,13,2025-09-16 00:00:00,2025-09-29 00:00:00,64.2,85.8,33.644859813084096,10,close_qfq
27,35,2025-10-27 00:00:00,2025-11-06 00:00:00,79.88,96.0,20.180270405608415,9,close_qfq
51,96,2025-11-28 00:00:00,2026-02-03 00:00:00,90.95,149.49,64.36503573391974,46,close_qfq
