start_idx,peak_idx,start_date,peak_date,start_price,peak_price,wave_gain_pct,bars,price_col
3,32,2025-09-15,2025-11-03,15.78,24.2,53.358681875792136,30,close_qfq
49,80,2025-11-26,2026-01-12,20.02,37.15,85.56443556443556,32,close_qfq
