日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-24,300136,37.6,44.73,45.5,37.13,1660970,7061617353.0,22.07,17.96,6.81,20.14
2025-12-25,300136,44.94,50.7,52.27,44.7,1741187,8441850717.0,16.92,13.35,5.97,21.12
2025-12-26,300136,50.0,51.3,53.85,49.85,1796980,9267835211.0,7.89,1.18,0.6,21.79
2025-12-29,300136,50.54,51.35,53.6,49.88,1603159,8262186201.0,7.25,0.1,0.05,19.44
2025-12-30,300136,52.92,53.0,56.53,51.88,1869618,10047448118.0,9.06,3.21,1.65,22.67
2025-12-31,300136,55.4,62.0,62.0,54.73,2045141,11911155891.0,13.72,16.98,9.0,24.8
2026-01-05,300136,62.0,65.61,67.68,61.0,2114568,13644512454.0,10.77,5.82,3.61,25.64
2026-01-06,300136,63.5,64.12,64.98,60.47,1868576,11736206844.0,6.87,-2.27,-1.49,22.66
2026-01-07,300136,62.34,67.01,68.8,61.61,1754301,11607345449.0,11.21,4.51,2.89,21.28
2026-01-08,300136,68.0,76.2,76.8,67.19,1686895,12064869836.0,14.34,13.71,9.19,20.46
2026-01-09,300136,77.96,75.15,81.6,73.0,2121604,16370164870.0,11.29,-1.38,-1.05,25.73
2026-01-12,300136,78.59,83.11,88.47,76.86,2147096,17231023294.0,15.45,10.59,7.96,26.04
2026-01-13,300136,78.02,74.1,80.39,70.0,2158638,16116781791.0,12.5,-10.84,-9.01,26.18
2026-01-14,300136,76.24,75.3,80.5,73.7,2024234,15575647399.0,9.18,1.62,1.2,24.55
2026-01-15,300136,75.4,76.75,79.43,74.15,1621345,12402753124.0,7.01,1.93,1.45,19.66
2026-01-16,300136,79.0,79.4,82.39,77.45,1731233,13810502754.0,6.44,3.45,2.65,21.0
2026-01-19,300136,77.7,78.25,83.0,77.7,1445170,11655820151.0,6.68,-1.45,-1.15,17.53
2026-01-20,300136,81.0,81.6,83.5,75.8,1752602,13972099702.0,9.84,4.28,3.35,21.25
2026-01-21,300136,80.0,73.31,82.05,73.03,1997517,15219314658.0,11.05,-10.16,-8.29,24.23
2026-01-22,300136,73.05,81.0,81.48,72.1,1932241,14948718256.0,12.79,10.49,7.69,23.43
2026-01-23,300136,82.0,93.5,94.58,81.0,1985828,17708692802.0,16.77,15.43,12.5,24.08
