日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-16,001330,8.97,8.23,9.05,8.12,1608764,1350523826.44,10.4,-7.94,-0.71,11.7
2026-01-19,001330,8.2,8.45,8.6,8.11,986083,828798274.76,5.95,2.67,0.22,7.17
2026-01-20,001330,8.51,8.4,8.62,8.3,883231,745889871.68,3.79,-0.59,-0.05,6.43
2026-01-21,001330,8.38,8.53,8.74,8.3,897814,767686095.26,5.24,1.55,0.13,6.53
2026-01-22,001330,8.6,9.07,9.38,8.5,1977944,1800218094.46,10.32,6.33,0.54,14.39
2026-01-23,001330,9.09,9.32,9.5,9.01,1468724,1364073949.0,5.4,2.76,0.25,10.69
2026-01-26,001330,9.32,9.76,9.87,9.23,1577877,1524166233.81,6.87,4.72,0.44,11.48
2026-01-27,001330,9.58,9.49,9.84,9.27,1254019,1191704551.0,5.84,-2.77,-0.27,9.12
2026-01-28,001330,9.48,9.21,9.75,9.18,1104304,1037140743.24,6.01,-2.95,-0.28,8.03
2026-01-29,001330,9.18,9.18,9.58,9.01,1213154,1130092039.86,6.19,-0.33,-0.03,8.83
2026-01-30,001330,9.15,9.6,9.82,9.08,1627432,1556531933.43,8.06,4.58,0.42,11.84
2026-02-02,001330,9.75,10.28,10.56,9.7,2063710,2125762244.61,8.96,7.08,0.68,15.01
2026-02-03,001330,10.17,10.36,10.86,10.02,1997896,2084408568.61,8.17,0.78,0.08,14.54
