日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,002156,50.55,52.27,52.83,50.3,1447549,7468447874.66,5.01,3.46,1.75,9.54
2026-02-27,002156,50.5,52.01,52.98,49.6,1176188,6005337368.8,6.47,-0.5,-0.26,7.75
2026-03-02,002156,50.96,50.9,52.85,50.55,1158729,5977193842.28,4.42,-2.13,-1.11,7.64
2026-03-03,002156,51.1,48.04,52.39,48.0,1228162,6111967473.19,8.62,-5.62,-2.86,8.09
2026-03-04,002156,47.19,48.19,49.78,47.19,806058,3930341923.22,5.39,0.31,0.15,5.31
2026-03-05,002156,49.6,48.84,50.18,48.3,798358,3937919290.7,3.9,1.35,0.65,5.26
2026-03-06,002156,48.38,47.93,49.36,47.71,656733,3169672603.85,3.38,-1.86,-0.91,4.33
